iter	MultiClass
0	1.081225021
1	1.06558714
2	1.051987216
3	1.039553555
4	1.028375248
5	1.018842493
6	1.009817799
7	1.00170525
8	0.994109743
9	0.9873989715
10	0.981324319
11	0.9758583381
12	0.9708913886
13	0.9661168233
14	0.9620207556
15	0.9579499657
16	0.9543253185
17	0.9507018046
18	0.9477141908
19	0.9448330314
20	0.9424180882
21	0.9398016058
22	0.9374026889
23	0.9351721123
24	0.9334075986
25	0.9315263217
26	0.9298558981
27	0.9282819088
28	0.9268106823
29	0.9253842843
30	0.9240844496
31	0.9229431141
32	0.9218460956
33	0.9209703036
34	0.9197920763
35	0.9189633698
36	0.9180391151
37	0.9172749681
38	0.9165062323
39	0.9157419969
40	0.9149732877
41	0.9142601835
42	0.9137112421
43	0.9131948425
44	0.9126097745
45	0.9120536407
46	0.9114508255
47	0.9109583411
48	0.9104085767
49	0.9098875853
50	0.9093572181
51	0.9089305151
52	0.9085508569
53	0.9080118987
54	0.9076296725
55	0.9072241186
56	0.9067378702
57	0.9063975502
58	0.9061155787
59	0.9056701719
60	0.9053558975
61	0.9049653192
62	0.9047353284
63	0.9044974563
64	0.9041634769
65	0.9038352727
66	0.9034327229
67	0.9032637328
68	0.9030439003
69	0.9028768496
70	0.9025524772
71	0.9022494813
72	0.9020500573
73	0.9018481171
74	0.9016644114
75	0.901413895
76	0.9011640926
77	0.900833949
78	0.9006063459
79	0.9003739143
80	0.9001797846
81	0.8999803373
82	0.899754292
83	0.8995932315
84	0.899337381
85	0.8991578005
86	0.8989782784
87	0.8987792194
88	0.8986858444
89	0.8985291054
90	0.8984304906
91	0.8982887099
92	0.8981404683
93	0.8979479773
94	0.8977656531
95	0.8976556059
96	0.8975082703
97	0.8973557063
98	0.8971780358
99	0.8970499438
100	0.8968924089
101	0.896795004
102	0.8966749271
103	0.8965557075
104	0.8964799005
105	0.8963642842
106	0.8962300778
107	0.8961568178
108	0.8960309589
109	0.8959401911
110	0.8958158933
111	0.8957322257
112	0.8956169984
113	0.8954709643
114	0.8953696955
115	0.895245629
116	0.8951770517
117	0.8951057843
118	0.8950633076
119	0.894920766
120	0.8948157536
121	0.8946957736
122	0.8946245804
123	0.8945289714
124	0.8944668397
125	0.894374612
126	0.8943001312
127	0.8942315227
128	0.894195922
129	0.8940849668
130	0.8939683085
131	0.893884104
132	0.8938159013
133	0.8937071465
134	0.8936090022
135	0.8935594597
136	0.8934788748
137	0.8933963176
138	0.8932702727
139	0.8931703815
140	0.8931033577
141	0.8929988899
142	0.8929216815
143	0.8928380195
144	0.8927607127
145	0.8926922361
146	0.8926016278
147	0.8925344021
148	0.8924523438
149	0.8923890078
150	0.8923522957
151	0.8922977328
152	0.892228293
153	0.8921376896
154	0.8920904644
155	0.8920500676
156	0.8920182048
157	0.8919654681
158	0.8918820083
159	0.8918450118
160	0.8917757883
161	0.8917068695
162	0.8916397939
163	0.8915965102
164	0.8914913013
165	0.8914223911
166	0.891363437
167	0.8913147984
168	0.8912667453
169	0.8912294719
170	0.8911871046
171	0.8911278042
172	0.8910522654
173	0.8909466965
174	0.8909210694
175	0.8908763152
176	0.8907952934
177	0.8907418734
178	0.8906840498
179	0.8906489054
180	0.8906176831
181	0.8905516205
182	0.8904959186
183	0.8903998084
184	0.8903424577
185	0.8902675532
186	0.8901765976
187	0.8901372221
188	0.8900481927
189	0.8899865817
190	0.889874814
191	0.8898155104
192	0.8897529981
193	0.8896944272
194	0.8896234664
195	0.8895493287
196	0.8894751591
197	0.8894200938
198	0.8893840532
199	0.8893411191
200	0.8893009357
201	0.8892026841
202	0.8891374821
203	0.8890212795
204	0.8889712027
205	0.8889228498
206	0.8887936253
207	0.8886896332
208	0.8886452902
209	0.8885880105
210	0.8885179374
211	0.8884759396
212	0.8884306023
213	0.8883667128
214	0.8882843329
215	0.8882496158
216	0.8882155729
217	0.8880934942
218	0.8880455205
219	0.8879902836
220	0.887911231
221	0.8878677679
222	0.8878315959
223	0.887802359
224	0.8877742911
225	0.8877432112
226	0.8877057468
227	0.8876449126
228	0.8875735918
229	0.8875238854
230	0.887450989
231	0.8874158389
232	0.8873537079
233	0.8872900129
234	0.8872400159
235	0.8871845122
236	0.887139013
237	0.8870400398
238	0.8869816131
239	0.8869308723
240	0.8868819669
241	0.8867966365
242	0.8867358126
243	0.8867059932
244	0.8866563986
245	0.8865883549
246	0.8865358387
247	0.8864357913
248	0.8863629749
249	0.8862979744
250	0.8862288617
251	0.8861591689
252	0.8860927484
253	0.8860698281
254	0.8860149169
255	0.8859761996
256	0.8858929025
257	0.88581919
258	0.8857549424
259	0.8857081685
260	0.8856399788
261	0.8855853124
262	0.8855528783
263	0.8854987085
264	0.8854401966
265	0.8854093457
266	0.8853650416
267	0.8853360768
268	0.8852512107
269	0.8851609636
270	0.8851009073
271	0.8850177902
272	0.8849346605
273	0.8849022177
274	0.8848469858
275	0.8847850222
276	0.8847096152
277	0.8846807719
278	0.8845994039
279	0.8845427743
280	0.8844575115
281	0.8844124053
282	0.8843264457
283	0.8842881977
