iter	Passed	Remaining
0	79	31565
1	138	27624
2	197	26183
3	248	24642
4	302	23864
5	357	23497
6	419	23536
7	484	23740
8	546	23761
9	608	23735
10	663	23474
11	723	23406
12	785	23391
13	841	23192
14	895	22993
15	950	22816
16	1004	22640
17	1061	22526
18	1123	22532
19	1181	22439
20	1236	22319
21	1288	22131
22	1338	21938
23	1387	21739
24	1439	21595
25	1486	21382
26	1537	21238
27	1587	21084
28	1637	20942
29	1684	20770
30	1732	20626
31	1777	20443
32	1838	20442
33	1895	20403
34	1941	20251
35	1991	20131
36	2044	20062
37	2100	20006
38	2156	19958
39	2213	19923
40	2265	19834
41	2319	19767
42	2376	19731
43	2429	19653
44	2483	19590
45	2538	19535
46	2584	19410
47	2635	19330
48	2685	19237
49	2735	19146
50	2787	19075
51	2847	19057
52	2907	19036
53	2974	19057
54	3039	19064
55	3097	19025
56	3151	18966
57	3207	18915
58	3263	18861
59	3315	18788
60	3369	18726
61	3420	18647
62	3474	18583
63	3529	18529
64	3583	18467
65	3637	18405
66	3696	18370
67	3758	18350
68	3820	18326
69	3887	18326
70	3945	18281
71	4005	18247
72	4070	18231
73	4133	18211
74	4192	18168
75	4258	18153
76	4320	18122
77	4370	18044
78	4426	17984
79	4486	17944
80	4543	17892
81	4599	17837
82	4646	17745
83	4694	17660
84	4736	17552
85	4783	17465
86	4831	17384
87	4889	17335
88	4938	17258
89	4986	17175
90	5037	17104
91	5087	17032
92	5147	16991
93	5203	16938
94	5269	16917
95	5330	16880
96	5379	16803
97	5437	16756
98	5497	16713
99	5548	16645
100	5603	16588
101	5648	16503
102	5696	16425
103	5739	16335
104	5784	16251
105	5835	16184
106	5880	16102
107	5927	16026
108	5977	15957
109	6026	15887
110	6076	15820
111	6134	15774
112	6191	15724
113	6247	15673
114	6300	15614
115	6343	15529
116	6387	15449
117	6448	15410
118	6475	15290
119	6528	15233
120	6584	15182
121	6637	15124
122	6687	15060
123	6735	14990
124	6783	14923
125	6829	14852
126	6881	14791
127	6931	14729
128	6981	14666
129	7040	14623
130	7104	14588
131	7163	14544
132	7216	14487
133	7268	14428
134	7312	14354
135	7374	14316
136	7428	14260
137	7482	14206
138	7542	14163
139	7608	14129
140	7665	14081
141	7721	14029
142	7774	13972
143	7829	13919
144	7884	13865
145	7940	13814
146	8000	13768
147	8058	13720
148	8124	13686
149	8179	13632
150	8233	13576
151	8289	13525
152	8338	13462
153	8392	13405
154	8439	13339
155	8495	13287
156	8546	13227
157	8594	13163
158	8646	13105
159	8695	13043
160	8751	12990
161	8803	12933
162	8851	12870
163	8899	12806
164	8957	12757
165	9014	12707
166	9072	12657
167	9131	12610
168	9185	12554
169	9229	12487
170	9278	12426
171	9339	12379
172	9392	12324
173	9445	12268
174	9499	12214
175	9552	12158
176	9620	12120
177	9684	12078
178	9746	12033
179	9800	11978
180	9852	11920
181	9915	11876
182	9972	11825
183	10029	11773
184	10080	11715
185	10133	11658
186	10185	11601
187	10232	11538
188	10283	11480
189	10343	11432
190	10397	11376
191	10460	11332
192	10519	11282
193	10582	11237
194	10644	11190
195	10706	11143
196	10763	11091
197	10825	11044
198	10886	10996
199	10937	10937
200	10983	10874
201	11029	10811
202	11079	10752
203	11136	10699
204	11196	10649
205	11256	10600
206	11312	10547
207	11375	10500
208	11437	10452
209	11497	10402
210	11547	10343
211	11600	10286
212	11648	10226
213	11692	10163
214	11747	10108
215	11800	10051
216	11851	9994
217	11904	9938
218	11957	9882
219	12015	9831
220	12078	9783
221	12134	9729
222	12194	9678
223	12248	9623
224	12297	9564
225	12350	9508
226	12408	9456
227	12456	9397
228	12507	9339
229	12562	9285
230	12622	9234
231	12676	9179
232	12736	9128
233	12793	9075
234	12848	9021
235	12903	8966
236	12953	8909
237	13003	8851
238	13057	8796
239	13107	8738
240	13160	8682
241	13213	8626
242	13262	8568
243	13309	8509
244	13356	8450
