date,home_team,away_team,home_score,away_score,tournament,season,stage,knockout,neutral,home_corners,away_corners,home_shots,away_shots,home_sot,away_sot,home_yellow,away_yellow,home_red,away_red,home_fouls,away_fouls,match_id
1958-06-24,Brazil,France,5,2,FIFA World Cup,1958,Semi-finals,True,True,8,5,41,15,16,7,0,0,0,0,18,9,3888704
1958-06-29,Brazil,Sweden,5,2,FIFA World Cup,1958,Final,True,False,13,8,26,6,11,3,0,0,0,0,13,15,3888705
1962-05-30,Brazil,Mexico,2,0,FIFA World Cup,1962,Group Stage,False,True,7,2,34,9,12,4,0,1,0,0,10,21,3888854
1970-06-03,Brazil,Czechoslovakia,4,1,FIFA World Cup,1970,Group Stage,False,True,3,6,29,32,11,7,2,1,0,0,17,12,3888699
1970-06-07,Brazil,England,1,0,FIFA World Cup,1970,Group Stage,False,True,6,4,20,21,6,5,0,1,0,0,22,17,3888700
1970-06-09,Brazil,Romania,3,2,FIFA World Cup,1970,Group Stage,False,True,8,4,22,18,7,4,0,2,0,0,12,24,3889217
1970-06-14,Brazil,Peru,4,2,FIFA World Cup,1970,Quarter-finals,True,True,8,6,30,19,12,8,0,0,0,0,19,15,3889218
1970-06-17,Brazil,Uruguay,3,1,FIFA World Cup,1970,Semi-finals,True,True,5,2,23,18,8,5,1,3,0,0,22,21,3888701
1970-06-21,Brazil,Italy,4,1,FIFA World Cup,1970,Final,True,True,4,6,27,26,8,9,1,1,0,0,14,23,3888702
1974-06-19,Netherlands,Sweden,0,0,FIFA World Cup,1974,1st Group Stage,False,True,5,2,30,8,7,3,1,4,0,0,29,26,3888716
1974-06-22,German DR,Germany,1,0,FIFA World Cup,1974,1st Group Stage,False,False,3,10,13,28,4,5,3,0,0,0,12,11,3750180
1974-06-26,Netherlands,Argentina,4,0,FIFA World Cup,1974,1st Group Stage,False,True,5,1,18,3,9,1,2,1,0,0,18,13,3888717
1974-06-30,German DR,Netherlands,0,2,FIFA World Cup,1974,1st Group Stage,False,True,4,6,11,14,2,3,0,0,0,0,14,23,3888718
1974-07-03,Netherlands,Brazil,2,0,FIFA World Cup,1974,1st Group Stage,False,True,3,1,12,14,6,2,2,3,0,1,30,26,3888719
1974-07-07,Netherlands,Germany,1,2,FIFA World Cup,1974,Final,True,False,10,10,16,10,7,4,3,1,0,0,29,17,3888720
1986-06-22,Argentina,England,2,1,FIFA World Cup,1986,Quarter-finals,True,True,4,6,15,12,3,4,1,1,0,0,15,20,3750191
1986-06-25,Argentina,Belgium,2,0,FIFA World Cup,1986,Semi-finals,True,True,6,5,18,21,6,3,1,1,0,0,12,21,3889148
1986-06-29,Argentina,Germany,3,2,FIFA World Cup,1986,Semi-finals,True,True,8,6,10,12,5,2,4,2,0,0,29,26,3889149
1990-06-24,Brazil,Argentina,0,1,FIFA World Cup,1990,Round of 16,True,True,11,4,17,6,2,4,2,3,1,0,25,25,3793185
2018-06-14,Russia,Saudi Arabia,5,0,FIFA World Cup,2018,Group Stage,False,False,6,2,14,6,7,0,1,1,0,0,23,12,7525
2018-06-15,Portugal,Spain,3,3,FIFA World Cup,2018,Group Stage,False,True,3,5,10,12,3,5,1,1,0,0,13,11,7576
2018-06-15,Morocco,Iran,0,1,FIFA World Cup,2018,Group Stage,False,True,5,2,14,8,3,2,1,3,0,0,22,16,7577
2018-06-15,Egypt,Uruguay,0,1,FIFA World Cup,2018,Group Stage,False,True,0,5,8,16,3,4,1,0,0,0,16,7,7578
2018-06-16,Argentina,Iceland,1,1,FIFA World Cup,2018,Group Stage,False,True,10,2,28,9,7,2,0,0,0,0,11,17,7531
2018-06-16,Peru,Denmark,0,1,FIFA World Cup,2018,Group Stage,False,True,3,7,17,11,6,3,1,2,0,0,12,21,7532
2018-06-16,France,Australia,2,1,FIFA World Cup,2018,Group Stage,False,True,5,1,12,5,4,2,1,3,0,0,17,20,7530
2018-06-16,Croatia,Nigeria,2,0,FIFA World Cup,2018,Group Stage,False,True,6,4,11,13,2,2,2,1,0,0,21,15,7529
2018-06-17,Brazil,Switzerland,1,1,FIFA World Cup,2018,Group Stage,False,True,7,2,21,7,4,2,1,2,0,0,12,21,7533
2018-06-17,Costa Rica,Serbia,0,1,FIFA World Cup,2018,Group Stage,False,True,5,4,10,12,3,2,2,2,0,0,18,13,7535
2018-06-17,Germany,Mexico,0,1,FIFA World Cup,2018,Group Stage,False,True,6,1,26,12,9,4,2,2,0,0,13,15,7534
2018-06-18,Belgium,Panama,3,0,FIFA World Cup,2018,Group Stage,False,True,9,3,15,7,6,2,3,5,0,0,17,20,7536
2018-06-18,Sweden,South Korea,1,0,FIFA World Cup,2018,Group Stage,False,True,6,5,16,5,4,0,1,2,0,0,19,22,7538
2018-06-18,Tunisia,England,1,2,FIFA World Cup,2018,Group Stage,False,True,2,7,6,18,1,7,0,1,0,0,15,9,7537
2018-06-19,Colombia,Japan,1,2,FIFA World Cup,2018,Group Stage,False,True,3,6,10,14,3,6,2,0,1,0,15,11,7541
