fecha,local,visitante,elo_local,elo_visitante,marcador_mas_probable,prob_marcador_exacto,prob_local,prob_empate,prob_visita,goles_esperados_local,goles_esperados_visita,top3_marcadores
2026-06-24,Scotland,Brazil,1827.0,2063.6,0-1,0.127,0.139,0.224,0.637,0.76,1.9,0-1 (12.7%) | 0-2 (12.6%) | 1-1 (10.6%)
2026-06-24,Mexico,Czech Republic,1987.0,1761.2,1-1,0.121,0.531,0.253,0.216,1.68,0.99,1-1 (12.1%) | 1-0 (11.1%) | 2-0 (9.8%)
2026-06-24,South Africa,South Korea,1659.4,1874.8,0-1,0.15,0.226,0.297,0.477,0.81,1.31,0-1 (15.0%) | 1-1 (13.4%) | 0-0 (12.5%)
2026-06-24,Canada,Switzerland,1875.6,1933.4,1-1,0.132,0.358,0.276,0.366,1.29,1.31,1-1 (13.2%) | 0-1 (9.1%) | 1-0 (9.0%)
2026-06-24,Bosnia and Herzegovina,Qatar,1650.1,1575.1,1-1,0.134,0.427,0.281,0.292,1.37,1.09,1-1 (13.4%) | 1-0 (11.1%) | 0-0 (9.1%)
2026-06-24,Morocco,Haiti,1992.9,1674.4,1-0,0.168,0.696,0.214,0.09,1.87,0.52,1-0 (16.8%) | 2-0 (16.0%) | 3-0 (10.0%)
2026-06-25,Curaçao,Ivory Coast,1610.8,1835.9,0-1,0.158,0.109,0.225,0.666,0.59,1.82,0-1 (15.8%) | 0-2 (14.8%) | 1-1 (10.1%)
2026-06-25,United States,Turkey,1904.2,1857.9,1-1,0.114,0.451,0.247,0.302,1.7,1.36,1-1 (11.4%) | 2-1 (9.2%) | 1-0 (7.4%)
2026-06-25,Paraguay,Australia,1876.4,1892.2,0-0,0.162,0.289,0.334,0.377,0.85,1.01,0-0 (16.2%) | 0-1 (15.1%) | 1-1 (14.0%)
2026-06-25,Japan,Sweden,1995.0,1789.5,1-1,0.119,0.524,0.25,0.226,1.71,1.05,1-1 (11.9%) | 1-0 (10.3%) | 2-1 (9.7%)
2026-06-25,Ecuador,Germany,1935.8,2017.2,1-1,0.14,0.288,0.31,0.403,0.94,1.17,1-1 (14.0%) | 0-1 (13.5%) | 0-0 (12.8%)
2026-06-25,Tunisia,Netherlands,1668.0,2024.7,0-1,0.133,0.15,0.236,0.613,0.77,1.8,0-1 (13.3%) | 0-2 (12.4%) | 1-1 (11.1%)
2026-06-26,Uruguay,Spain,1921.9,2177.9,0-1,0.155,0.207,0.293,0.5,0.77,1.35,0-1 (15.5%) | 1-1 (13.1%) | 0-0 (12.5%)
2026-06-26,Cape Verde,Saudi Arabia,1699.5,1695.6,0-0,0.16,0.32,0.334,0.346,0.91,0.96,0-0 (16.0%) | 1-1 (14.1%) | 0-1 (14.1%)
2026-06-26,Norway,France,1996.7,2139.5,1-1,0.124,0.258,0.261,0.481,1.11,1.59,1-1 (12.4%) | 0-1 (10.1%) | 1-2 (9.4%)
2026-06-26,Egypt,Iran,1845.6,1874.2,0-0,0.154,0.295,0.328,0.377,0.88,1.04,0-0 (15.4%) | 0-1 (14.6%) | 1-1 (14.1%)
2026-06-26,New Zealand,Belgium,1690.7,1917.7,0-2,0.14,0.108,0.206,0.686,0.66,2.01,0-2 (14.0%) | 0-1 (13.4%) | 1-1 (9.7%)
2026-06-26,Senegal,Iraq,1860.4,1694.8,1-0,0.168,0.549,0.282,0.17,1.44,0.67,1-0 (16.8%) | 0-0 (12.7%) | 2-0 (12.5%)
2026-06-27,Colombia,Portugal,2075.3,2048.6,1-1,0.136,0.335,0.285,0.38,1.18,1.27,1-1 (13.6%) | 0-1 (10.3%) | 1-0 (9.5%)
2026-06-27,Jordan,Argentina,1702.1,2204.6,0-2,0.163,0.052,0.148,0.8,0.47,2.4,0-2 (16.3%) | 0-1 (13.3%) | 0-3 (13.0%)
2026-06-27,DR Congo,Uzbekistan,1758.6,1758.5,0-0,0.194,0.343,0.356,0.301,0.87,0.8,0-0 (19.4%) | 1-0 (15.7%) | 0-1 (14.4%)
2026-06-27,Panama,England,1776.0,2074.6,0-2,0.153,0.085,0.19,0.725,0.57,2.09,0-2 (15.3%) | 0-1 (14.2%) | 0-3 (10.6%)
2026-06-27,Algeria,Austria,1874.2,1887.8,1-1,0.138,0.344,0.292,0.365,1.16,1.21,1-1 (13.8%) | 0-1 (10.6%) | 1-0 (10.2%)
2026-06-27,Croatia,Ghana,1948.3,1698.5,1-0,0.152,0.566,0.265,0.169,1.56,0.73,1-0 (15.2%) | 2-0 (12.3%) | 1-1 (12.1%)
