fecha,local,visitante,elo_local,elo_visitante,prob_local_xgboost,prob_empate_xgboost,prob_visita_xgboost,prob_local_catboost,prob_empate_catboost,prob_visita_catboost,prob_local_blend,prob_empate_blend,prob_visita_blend
2026-06-20,Germany,Ivory Coast,1999.0,1854.1,0.606,0.185,0.209,0.6,0.211,0.188,0.603,0.198,0.199
2026-06-20,Ecuador,Curaçao,1959.5,1587.1,0.807,0.128,0.065,0.809,0.133,0.058,0.808,0.13,0.062
2026-06-20,Netherlands,Sweden,1994.6,1819.5,0.581,0.213,0.206,0.575,0.216,0.208,0.578,0.215,0.207
2026-06-20,Tunisia,Japan,1685.7,1977.3,0.141,0.181,0.679,0.143,0.23,0.627,0.142,0.205,0.653
2026-06-21,Belgium,Iran,1922.2,1869.7,0.489,0.236,0.275,0.466,0.261,0.273,0.477,0.249,0.274
2026-06-21,New Zealand,Egypt,1724.7,1811.6,0.226,0.206,0.568,0.267,0.261,0.472,0.246,0.233,0.52
2026-06-21,Spain,Saudi Arabia,2170.8,1702.8,0.848,0.105,0.047,0.839,0.117,0.044,0.843,0.111,0.046
2026-06-21,Uruguay,Cape Verde,1941.0,1680.4,0.714,0.176,0.11,0.717,0.181,0.102,0.716,0.178,0.106
2026-06-22,Jordan,Algeria,1721.1,1855.3,0.192,0.206,0.602,0.22,0.264,0.516,0.206,0.235,0.559
2026-06-22,Argentina,Austria,2190.2,1902.2,0.751,0.131,0.118,0.696,0.193,0.11,0.724,0.162,0.114
2026-06-22,France,Iraq,2131.3,1703.0,0.755,0.163,0.082,0.791,0.14,0.069,0.773,0.151,0.076
2026-06-22,Norway,Senegal,1974.5,1882.6,0.511,0.219,0.27,0.504,0.24,0.256,0.508,0.229,0.263
2026-06-23,Portugal,Uzbekistan,2024.7,1782.3,0.672,0.184,0.144,0.686,0.192,0.122,0.679,0.188,0.133
2026-06-23,Colombia,DR Congo,2066.2,1767.7,0.688,0.197,0.116,0.686,0.203,0.111,0.687,0.2,0.113
2026-06-23,England,Ghana,2099.9,1673.2,0.816,0.113,0.071,0.817,0.124,0.059,0.816,0.119,0.065
2026-06-23,Panama,Croatia,1795.0,1929.3,0.257,0.236,0.507,0.278,0.266,0.457,0.268,0.251,0.482
2026-06-24,South Africa,South Korea,1659.4,1874.8,0.174,0.199,0.627,0.156,0.205,0.639,0.165,0.202,0.633
2026-06-24,Mexico,Czech Republic,1987.0,1761.2,0.672,0.184,0.143,0.649,0.217,0.133,0.661,0.201,0.138
2026-06-24,Morocco,Haiti,1992.9,1674.4,0.73,0.178,0.092,0.72,0.186,0.094,0.725,0.182,0.093
2026-06-24,Scotland,Brazil,1827.0,2063.6,0.178,0.17,0.651,0.156,0.222,0.621,0.167,0.196,0.636
2026-06-24,Bosnia and Herzegovina,Qatar,1650.1,1575.1,0.439,0.275,0.286,0.451,0.302,0.247,0.445,0.288,0.266
2026-06-24,Canada,Switzerland,1875.6,1933.4,0.337,0.248,0.415,0.321,0.288,0.391,0.329,0.268,0.403
2026-06-25,Paraguay,Australia,1876.4,1892.2,0.352,0.271,0.377,0.342,0.293,0.365,0.347,0.282,0.371
2026-06-25,United States,Turkey,1904.3,1857.9,0.481,0.222,0.297,0.464,0.249,0.288,0.472,0.235,0.292
2026-06-25,Tunisia,Netherlands,1685.7,1994.6,0.124,0.176,0.701,0.121,0.198,0.681,0.122,0.187,0.691
2026-06-25,Japan,Sweden,1977.3,1819.5,0.533,0.228,0.239,0.533,0.224,0.243,0.533,0.226,0.241
2026-06-25,Ecuador,Germany,1959.5,1999.0,0.235,0.314,0.451,0.232,0.323,0.446,0.234,0.318,0.448
2026-06-25,Curaçao,Ivory Coast,1587.1,1854.1,0.161,0.168,0.671,0.142,0.2,0.658,0.151,0.184,0.665
2026-06-26,Senegal,Iraq,1882.6,1703.0,0.597,0.233,0.17,0.59,0.238,0.172,0.593,0.236,0.171
2026-06-26,Egypt,Iran,1811.6,1869.7,0.311,0.261,0.428,0.306,0.306,0.388,0.309,0.284,0.408
2026-06-26,Norway,France,1974.5,2131.3,0.22,0.206,0.573,0.239,0.278,0.484,0.23,0.242,0.528
2026-06-26,New Zealand,Belgium,1724.7,1922.2,0.164,0.175,0.661,0.156,0.236,0.608,0.16,0.205,0.635
2026-06-26,Uruguay,Spain,1941.0,2170.8,0.176,0.23,0.594,0.166,0.262,0.572,0.171,0.246,0.583
2026-06-26,Cape Verde,Saudi Arabia,1680.4,1702.8,0.313,0.266,0.421,0.312,0.269,0.42,0.312,0.267,0.42
2026-06-27,DR Congo,Uzbekistan,1767.7,1782.3,0.405,0.279,0.316,0.382,0.298,0.32,0.394,0.289,0.318
2026-06-27,Jordan,Argentina,1721.1,2190.2,0.078,0.133,0.79,0.05,0.131,0.819,0.064,0.132,0.804
2026-06-27,Colombia,Portugal,2066.2,2024.7,0.424,0.296,0.28,0.418,0.283,0.299,0.421,0.289,0.29
2026-06-27,Algeria,Austria,1855.3,1902.2,0.264,0.239,0.497,0.233,0.285,0.482,0.249,0.262,0.49
2026-06-27,Panama,England,1795.0,2099.9,0.098,0.155,0.747,0.102,0.178,0.721,0.1,0.166,0.734
2026-06-27,Croatia,Ghana,1929.3,1673.2,0.663,0.19,0.147,0.672,0.195,0.133,0.668,0.192,0.14
