fecha,local,visitante,elo_local,elo_visitante,marcador_mas_probable,prob_marcador_exacto,top3_marcadores,prob_local_ensemble,prob_empate_ensemble,prob_visita_ensemble
2026-06-20,Germany,Ivory Coast,1999.0,1854.1,1-1,0.128,1-1 (12.8%) | 1-0 (12.6%) | 2-0 (10.0%),0.573,0.261,0.166
2026-06-20,Ecuador,Curaçao,1959.5,1587.1,2-0,0.172,2-0 (17.2%) | 1-0 (16.7%) | 3-0 (11.6%),0.822,0.129,0.049
2026-06-20,Netherlands,Sweden,1994.6,1819.5,1-1,0.109,1-1 (10.9%) | 2-1 (9.8%) | 2-0 (8.5%),0.611,0.233,0.156
2026-06-20,Tunisia,Japan,1685.7,1977.3,0-1,0.161,0-1 (16.1%) | 1-1 (12.6%) | 0-0 (12.3%),0.113,0.22,0.667
2026-06-21,Belgium,Iran,1922.2,1869.7,1-1,0.129,1-1 (12.9%) | 1-0 (11.7%) | 2-0 (9.3%),0.497,0.285,0.217
2026-06-21,New Zealand,Egypt,1724.7,1811.6,0-1,0.173,0-1 (17.3%) | 0-0 (16.0%) | 1-1 (13.3%),0.175,0.309,0.516
2026-06-21,Spain,Saudi Arabia,2170.8,1702.8,2-0,0.16,2-0 (16.0%) | 1-0 (14.9%) | 3-0 (11.2%),0.834,0.122,0.044
2026-06-21,Uruguay,Cape Verde,1941.0,1680.4,1-0,0.197,1-0 (19.7%) | 0-0 (14.7%) | 2-0 (14.4%),0.689,0.214,0.097
2026-06-22,Jordan,Algeria,1721.1,1855.3,1-1,0.112,1-1 (11.2%) | 0-1 (11.0%) | 0-2 (10.7%),0.147,0.235,0.618
2026-06-22,Argentina,Austria,2190.2,1902.2,1-0,0.173,1-0 (17.3%) | 2-0 (13.3%) | 0-0 (12.6%),0.683,0.213,0.105
2026-06-22,France,Iraq,2131.3,1703.0,1-0,0.153,1-0 (15.3%) | 2-0 (15.3%) | 3-0 (9.9%),0.799,0.146,0.055
2026-06-22,Norway,Senegal,1974.5,1882.6,1-1,0.137,1-1 (13.7%) | 1-0 (11.1%) | 0-0 (9.8%),0.45,0.298,0.252
2026-06-23,Portugal,Uzbekistan,2024.7,1782.3,1-0,0.155,1-0 (15.5%) | 2-0 (13.5%) | 1-1 (11.2%),0.694,0.207,0.099
2026-06-23,Colombia,DR Congo,2066.2,1767.7,1-0,0.177,1-0 (17.7%) | 2-0 (13.5%) | 0-0 (12.9%),0.673,0.227,0.099
2026-06-23,England,Ghana,2099.9,1673.2,1-0,0.163,1-0 (16.3%) | 2-0 (15.9%) | 3-0 (10.0%),0.799,0.144,0.056
2026-06-23,Panama,Croatia,1794.9,1929.3,0-1,0.121,0-1 (12.1%) | 0-2 (11.7%) | 1-1 (11.0%),0.165,0.235,0.6
2026-06-24,South Africa,South Korea,1659.4,1874.8,0-1,0.15,0-1 (15.0%) | 1-1 (13.4%) | 0-0 (12.5%),0.148,0.246,0.605
2026-06-24,Morocco,Haiti,1992.9,1674.4,1-0,0.168,1-0 (16.8%) | 2-0 (16.0%) | 3-0 (10.0%),0.769,0.165,0.066
2026-06-24,Canada,Switzerland,1875.6,1933.4,1-1,0.132,1-1 (13.2%) | 0-1 (9.1%) | 1-0 (9.0%),0.306,0.32,0.374
2026-06-24,Bosnia and Herzegovina,Qatar,1650.1,1575.1,1-1,0.134,1-1 (13.4%) | 1-0 (11.1%) | 0-0 (9.1%),0.443,0.318,0.239
2026-06-24,Mexico,Czech Republic,1987.0,1761.2,1-1,0.121,1-1 (12.1%) | 1-0 (11.1%) | 2-0 (9.8%),0.635,0.233,0.132
2026-06-24,Scotland,Brazil,1827.0,2063.6,0-1,0.127,0-1 (12.7%) | 0-2 (12.6%) | 1-1 (10.6%),0.111,0.186,0.703
2026-06-25,Curaçao,Ivory Coast,1610.8,1835.9,0-1,0.158,0-1 (15.8%) | 0-2 (14.9%) | 1-1 (10.1%),0.101,0.179,0.72
2026-06-25,Ecuador,Germany,1935.8,2017.2,1-1,0.14,1-1 (14.0%) | 0-1 (13.5%) | 0-0 (12.8%),0.214,0.333,0.453
2026-06-25,Japan,Sweden,1995.0,1789.5,1-1,0.119,1-1 (11.9%) | 1-0 (10.3%) | 2-1 (9.7%),0.615,0.234,0.151
2026-06-25,Tunisia,Netherlands,1668.0,2024.7,0-1,0.133,0-1 (13.3%) | 0-2 (12.4%) | 1-1 (11.2%),0.082,0.158,0.761
2026-06-25,United States,Turkey,1904.2,1857.9,1-1,0.114,1-1 (11.4%) | 2-1 (9.2%) | 1-0 (7.5%),0.469,0.282,0.249
2026-06-25,Paraguay,Australia,1876.4,1892.2,0-0,0.162,0-0 (16.2%) | 0-1 (15.1%) | 1-1 (14.0%),0.282,0.349,0.368
2026-06-26,Cape Verde,Saudi Arabia,1699.5,1695.6,0-0,0.161,0-0 (16.1%) | 1-1 (14.1%) | 0-1 (14.1%),0.308,0.355,0.337
2026-06-26,Uruguay,Spain,1921.9,2177.9,0-1,0.155,0-1 (15.5%) | 1-1 (13.1%) | 0-0 (12.6%),0.134,0.243,0.624
2026-06-26,Senegal,Iraq,1860.4,1694.8,1-0,0.169,1-0 (16.9%) | 0-0 (12.7%) | 2-0 (12.6%),0.605,0.259,0.136
2026-06-26,New Zealand,Belgium,1690.7,1917.7,0-2,0.14,0-2 (14.0%) | 0-1 (13.5%) | 1-1 (9.7%),0.095,0.162,0.743
2026-06-26,Egypt,Iran,1845.6,1874.2,0-0,0.154,0-0 (15.4%) | 0-1 (14.5%) | 1-1 (14.1%),0.282,0.348,0.37
2026-06-26,Norway,France,1996.7,2139.5,1-1,0.125,1-1 (12.5%) | 0-1 (10.2%) | 1-2 (9.4%),0.196,0.26,0.544
2026-06-27,DR Congo,Uzbekistan,1758.6,1758.5,0-0,0.194,0-0 (19.4%) | 1-0 (15.8%) | 0-1 (14.3%),0.351,0.364,0.285
2026-06-27,Jordan,Argentina,1702.1,2204.6,0-2,0.163,0-2 (16.3%) | 0-1 (13.2%) | 0-3 (13.1%),0.046,0.084,0.871
2026-06-27,Colombia,Portugal,2075.3,2048.6,1-1,0.136,1-1 (13.6%) | 0-1 (10.3%) | 1-0 (9.5%),0.35,0.329,0.321
2026-06-27,Algeria,Austria,1874.2,1887.8,1-1,0.138,1-1 (13.8%) | 0-1 (10.6%) | 1-0 (10.3%),0.297,0.333,0.37
2026-06-27,Panama,England,1776.0,2074.6,0-2,0.153,0-2 (15.3%) | 0-1 (14.2%) | 0-3 (10.6%),0.074,0.136,0.79
2026-06-27,Croatia,Ghana,1948.3,1698.5,1-0,0.152,1-0 (15.2%) | 2-0 (12.2%) | 1-1 (12.1%),0.651,0.232,0.117
2026-06-28,South Africa,Canada,1705.9,1842.0,0-1,0.164,0-1 (16.4%) | 0-0 (14.4%) | 1-1 (13.3%),0.194,0.307,0.499
