fecha,local,visitante,elo_local,elo_visitante,marcador_mas_probable,prob_marcador_exacto,top3_marcadores,prob_local_ensemble,prob_empate_ensemble,prob_visita_ensemble
2026-06-30,Mexico,Ecuador,2001.0,1972.7,0-0,0.16,0-0 (16.0%) | 1-0 (14.3%) | 1-1 (14.1%),0.38,0.36,0.26
2026-06-30,Ivory Coast,Norway,1855.3,1964.7,1-1,0.138,1-1 (13.8%) | 0-1 (12.2%) | 0-0 (10.7%),0.214,0.296,0.49
2026-06-30,France,Sweden,2171.6,1805.4,1-1,0.103,1-1 (10.3%) | 2-0 (10.2%) | 2-1 (10.0%),0.732,0.185,0.082
2026-07-01,United States,Bosnia and Herzegovina,1862.3,1685.6,2-0,0.108,2-0 (10.8%) | 1-1 (10.6%) | 1-0 (10.4%),0.69,0.195,0.115
2026-07-01,England,DR Congo,2088.3,1803.6,1-0,0.2,1-0 (20.0%) | 0-0 (15.4%) | 2-0 (14.3%),0.683,0.218,0.099
2026-07-01,Belgium,Senegal,1941.7,1893.8,1-1,0.133,1-1 (13.3%) | 1-0 (11.8%) | 0-0 (9.6%),0.482,0.288,0.23
2026-07-02,Switzerland,Algeria,1967.0,1875.4,1-1,0.13,1-1 (13.0%) | 1-0 (9.6%) | 2-1 (8.8%),0.479,0.285,0.236
2026-07-02,Spain,Austria,2189.1,1886.6,1-0,0.13,1-0 (13.0%) | 1-1 (11.7%) | 2-0 (11.7%),0.694,0.207,0.099
2026-07-02,Portugal,Croatia,2050.9,1959.8,1-1,0.129,1-1 (12.9%) | 1-0 (12.0%) | 2-0 (9.6%),0.551,0.268,0.181
2026-07-03,Colombia,Ghana,2073.0,1687.0,1-0,0.155,1-0 (15.5%) | 2-0 (14.7%) | 1-1 (10.1%),0.759,0.178,0.064
2026-07-03,Australia,Egypt,1890.8,1848.0,0-0,0.177,0-0 (17.7%) | 1-0 (15.5%) | 1-1 (13.9%),0.353,0.368,0.278
2026-07-03,Argentina,Cape Verde,2209.3,1699.1,2-0,0.183,2-0 (18.3%) | 1-0 (17.6%) | 3-0 (12.5%),0.835,0.124,0.041
2026-07-04,Canada,Morocco,1860.8,2007.9,0-1,0.178,0-1 (17.8%) | 0-0 (17.5%) | 1-1 (13.3%),0.175,0.317,0.507
