seleccion,prob_octavos_32,prob_octavos_16,prob_cuartos,prob_semis,prob_final,prob_campeon
Argentina,0.9956,0.733,0.5234,0.4154,0.2944,0.1938
Brazil,1.0,0.6908,0.5184,0.3486,0.2136,0.114
Spain,0.9242,0.5974,0.4096,0.3008,0.182,0.1108
England,0.9944,0.713,0.4874,0.291,0.1676,0.0918
France,0.9888,0.7046,0.46,0.2636,0.1404,0.0682
Colombia,0.9878,0.7144,0.3314,0.2228,0.1136,0.0588
Portugal,0.8344,0.5844,0.2938,0.2002,0.108,0.0572
Belgium,0.8792,0.5876,0.3996,0.1774,0.0826,0.0406
Morocco,1.0,0.5904,0.3586,0.1714,0.0926,0.0394
Germany,0.9958,0.64,0.332,0.1676,0.0812,0.0336
Netherlands,0.8764,0.4126,0.244,0.1288,0.0624,0.0288
Japan,0.8412,0.3934,0.224,0.1056,0.0458,0.0208
Switzerland,1.0,0.6716,0.3244,0.119,0.0486,0.0178
Uruguay,0.7682,0.3234,0.1614,0.0898,0.0396,0.0166
Ecuador,0.7686,0.4122,0.1972,0.0866,0.0346,0.0148
Norway,0.9758,0.5496,0.2328,0.1012,0.0384,0.014
Austria,0.949,0.3856,0.1782,0.085,0.0268,0.0104
Croatia,0.7676,0.3562,0.1436,0.0708,0.0266,0.0092
Australia,0.933,0.471,0.2266,0.0676,0.0234,0.0076
Senegal,0.5888,0.287,0.1222,0.0488,0.018,0.0064
Mexico,1.0,0.4864,0.1718,0.0666,0.0232,0.0064
Ivory Coast,0.9614,0.4114,0.1336,0.0422,0.0152,0.0062
Canada,1.0,0.5502,0.2172,0.0628,0.0206,0.0054
United States,1.0,0.616,0.259,0.0706,0.0184,0.0046
Algeria,0.5842,0.2296,0.1112,0.0452,0.0144,0.0042
Iran,0.6038,0.3034,0.1508,0.0452,0.0148,0.0038
Egypt,0.7164,0.3018,0.137,0.0364,0.0118,0.0036
South Korea,0.8962,0.3632,0.102,0.0284,0.0082,0.003
Sweden,0.9484,0.2948,0.1162,0.0354,0.0106,0.0028
Paraguay,0.7644,0.2872,0.1044,0.0274,0.0082,0.0026
Scotland,0.7518,0.2284,0.07,0.02,0.0044,0.001
DR Congo,0.5268,0.1732,0.0464,0.016,0.0036,0.0006
Ghana,0.76,0.1796,0.0366,0.0072,0.0016,0.0004
Uzbekistan,0.2818,0.092,0.021,0.0058,0.0012,0.0002
Czech Republic,0.2876,0.0984,0.0282,0.0076,0.001,0.0002
Bosnia and Herzegovina,0.4252,0.1022,0.0236,0.0038,0.0006,0.0002
Tunisia,0.143,0.0362,0.0126,0.0036,0.0006,0.0002
Curaçao,0.0592,0.005,0.0006,0.0,0.0,0.0
Cape Verde,0.4792,0.0712,0.013,0.0016,0.0002,0.0
Haiti,0.0,0.0,0.0,0.0,0.0,0.0
Panama,0.1434,0.0288,0.0048,0.0004,0.0,0.0
New Zealand,0.3742,0.095,0.0286,0.0036,0.0002,0.0
Jordan,0.1262,0.0226,0.0032,0.0002,0.0,0.0
Iraq,0.1216,0.029,0.0064,0.0016,0.0,0.0
South Africa,0.2152,0.0504,0.0088,0.0016,0.0006,0.0
Saudi Arabia,0.4668,0.075,0.017,0.0044,0.0004,0.0
Qatar,0.2944,0.0508,0.0074,0.0004,0.0,0.0
Turkey,0.0,0.0,0.0,0.0,0.0,0.0
