rank,seleccion,elo
1,Argentina,2209.326472889929
2,Spain,2189.0882548748014
3,France,2182.948567090939
4,Brazil,2106.120201096754
5,England,2088.299961942852
6,Colombia,2072.987577570925
7,Portugal,2050.8575820278393
8,Netherlands,2032.3633849578289
9,Mexico,2030.0863164620005
10,Morocco,2007.8681459579614
11,Norway,1985.5181813184452
12,Germany,1971.6907566204136
13,Switzerland,1967.011369675836
14,Croatia,1959.7964048099032
15,Japan,1957.9440663680166
16,Ecuador,1943.5946764766766
17,Belgium,1941.699636381655
18,Italy,1929.398489791553
19,Denmark,1923.5320057766105
20,Uruguay,1910.75400189256
21,Turkey,1899.8259162373588
22,Senegal,1893.7575994335
23,Australia,1890.7949198728536
24,Austria,1886.6136921060242
25,Paraguay,1886.353892910651
