player,sot_por_90,theta,exp90
Neymar da Silva Santos Junior,1.854,5.35,8.5
Kai Havertz,1.677,4.84,9.1
Lautaro Javier Martínez,1.611,4.64,5.8
Patrik Schick,1.601,4.61,5.9
Cristiano Ronaldo dos Santos Aveiro,1.478,4.26,17.4
Lionel Andrés Messi Cuccittini,1.46,4.21,17.7
Álvaro Borja Morata Martín,1.379,3.98,12.4
Kylian Mbappé Lottin,1.339,3.86,23.3
Wahbi Khazri,1.327,3.83,3.9
Gerard Moreno Balaguero,1.299,3.74,3.3
Daniel Olmo Carvajal,1.271,3.66,13.7
Raphael Dias Belloli,1.266,3.65,6.6
José Paolo Guerrero Gonzáles,1.226,3.53,3.7
Romelu Lukaku Menama,1.205,3.47,15.4
Julián Álvarez,1.203,3.47,9.6
Mikel Oyarzabal Ugarte,1.199,3.46,4.6
Denis Cheryshev,1.195,3.45,3.8
Niclas Füllkrug,1.172,3.38,3.1
Marcus Rashford,1.167,3.36,5.7
Mohammed Kudus,1.163,3.35,4.9
