tournament,season,partidos,util_corners,util_cards,util_sot,corners_medio,cards_medio,sot_medio
African Cup of Nations,2023,52,52,52,52,8.8,3.5,7.7
Copa America,2024,32,32,32,32,8.5,4.1,8.6
FIFA World Cup,1958,2,2,2,2,17.0,0.0,18.5
FIFA World Cup,1962,1,1,1,1,9.0,1.0,16.0
FIFA World Cup,1970,6,6,6,6,10.3,2.0,15.0
FIFA World Cup,1974,6,6,6,6,10.0,3.5,8.8
FIFA World Cup,1986,3,3,3,3,11.7,3.3,7.7
FIFA World Cup,1990,1,1,1,1,15.0,6.0,6.0
FIFA World Cup,2018,64,64,64,64,9.0,3.3,8.2
FIFA World Cup,2022,64,64,64,64,8.9,3.6,8.5
UEFA Euro,2020,51,51,51,51,9.0,3.1,8.7
UEFA Euro,2024,51,51,51,51,10.0,4.5,8.7
